title,Directed by,Written by,Produced by,Starring,Cinematography,Edited by,Music by,Production companies,Distributed by,Country,Language,Running time (int),Budget (float),Box office (float),Release dates (datetime),imdb,metascore,rotten_tomatoes,Screenplay by,Based on
First Reformed,Paul Schrader,Paul Schrader,"['Jack Binder', 'Greg Clark', 'Victoria Hill', 'Gary Hamilton', 'Deepak Sikka', 'Christine Vachon', 'David Hinojosa', 'Frank Murray']","['Ethan Hawke', 'Amanda Seyfried', 'Cedric Kyles']",Alexander Dynan,Benjamin Rodriguez Jr.,Lustmord,"['Killer Films', 'Omeira Studio Partners', 'Fibonacci Films', 'Arclight Films', 'Big Indie Productions']",A24,United States,English,113.0,3500000.0,3900000.0,31-08-2017,7.1,85,94%,,
How to Talk to Girls at Parties,John Cameron Mitchell,,"['Iain Canning', 'Howard Gertler', 'John Cameron Mitchell', 'Emile Sherman']","['Elle Fanning', 'Alex Sharp', 'Nicole Kidman', 'Ruth Wilson', 'Matt Lucas']",Frank G. DeMarco,Brian A. Kates,"['Nico Muhly', 'Jamie Stewart']","['HanWay Films', 'Little Punk', 'See-Saw Films', 'Film4', 'Screen Yorkshire']","['A24 (United States)', 'StudioCanal (United Kingdom)']",,English,102.0,,385733.0,21-05-2017,5.7,50,48%,"['Philippa Goslett', 'John Cameron Mitchell']","['""', 'How to Talk to Girls at Parties', '""', 'by', 'Neil Gaiman']"
Hereditary,Ari Aster,Ari Aster,"['Kevin Frakes', 'Lars Knudsen', 'Buddy Patrick']","['Toni Collette', 'Alex Wolff', 'Milly Shapiro', 'Ann Dowd', 'Gabriel Byrne']",Pawel Pogorzelski,"['Jennifer Lame', 'Lucian Johnston']",Colin Stetson,"['A24', 'PalmStar Media', 'Finch Entertainment', 'Windy Hill Pictures']",A24,United States,English,127.0,10000000.0,82500000.0,21-01-2018,7.3,87,90%,,
Woman Walks Ahead,Susanna White,Steven Knight,"['Edward Zwick', 'Marshall Herskovitz', 'Erika Olde', 'Rick Solomon', 'Andrea Calderwood']","['Jessica Chastain', 'Michael Greyeyes', 'Chaske Spencer', 'Sam Rockwell']",Mike Eley,"['Lucia Zucchetti', 'Steven Rosenblum']",George Fenton,"['IM Global', 'Black Bicycle Entertainment', 'Bedford Falls Productions', 'Potboiler Productions']","['A24', 'DirecTV Cinema']",,,102.0,5000000.0,80912.0,10-09-2017,6.6,51,59%,,
Eighth Grade,Bo Burnham,Bo Burnham,"['Scott Rudin', 'Eli Bush', 'Lila Yacoub', 'Christopher Storer']","['Elsie Fisher', 'Josh Hamilton', 'Emily Robinson', 'Jake Ryan', 'Fred Hechinger']",Andrew Wehde,Jennifer Lilly,Anna Meredith,"['A24', 'IAC Films', 'Scott Rudin Productions']","['A24 (United States)', 'Sony Pictures Releasing International', 'Stage 6 Films (International)']",United States,English,94.0,2000000.0,14300000.0,19-01-2018,7.4,89,99%,,
Hot Summer Nights,Elijah Bynum,Elijah Bynum,"['Bradley Thomas', 'Dan Friedkin', 'Ryan Friedkin']","['Timothée Chalamet', 'Maika Monroe', 'Alex Roe', 'Maia Mitchell', 'William Fichtner', 'Thomas Jane', 'Emory Cohen', ""Rachel O'Shaughnessy""]",Javier Julia,"['Jeffrey J. Castelluccio', 'Dan Zimmerman', 'Tom Costantino']",Will Bates,,"['A24', 'DirecTV Cinema']",United States,English,107.0,,246133.0,13-03-2017,6.3,44,44%,,
Never Goin' Back,Augustine Frizzell,Augustine Frizzell,"['James M. Johnston', 'Toby Halbrooks', 'Liz Cardenas']","['Maia Mitchell', 'Camila Morrone']",Greta Zozula,"['Augustine Frizzell', 'Courtney Ware']",Sarah Jaffe,"['Sailor Bear', 'Mama Bear Studios']",A24,United States,English,85.0,,61271.0,22-01-2018,6.0,62,76%,,
A Prayer Before Dawn,Jean-Stéphane Sauvaire,"['Jonathan Hirschbein', 'Nick Saltrese']","['Roy Boulter', 'Rita Dagher', 'Sol Papadopoulos', 'Nicholas Simon']",Joe Cole,David Ungaro,Marc Boucrot,Nicolas Becker,"['Indochina Productions', 'Meridan Entertainment', 'HanWay Films', 'Symbolic Exchange', 'Canal+', 'Senorita Films', 'Ciné+']","['A24 DirecTV Cinema (United States)', 'Altitude (United Kingdom)', 'Wild Bunch (France)']",,English,117.0,,958883.0,19-05-2017,6.8,76,92%,,"[""A Prayer Before Dawn: My Nightmare in Thailand's Prisons"", 'by', 'Billy Moore']"
Slice,Austin Vesely,Austin Vesely,"['Kevin McGrail', 'Brandon Riley']","['Zazie Beetz', 'Chance Bennett', 'Rae Gray', 'Marilyn Dodds Frank', 'Katherine Cunningham', 'Will Brill', ""Y'lan Noel"", 'Hannibal Buress', 'Tim Becker', 'Joe Keery', 'Chris Parnell', 'Paul Scheer']",Brandon Riley,Arielle Sherman,"['Ludwig Göransson', 'Nathan Matthew David']","['Frëhand', 'N2ition Cinema']",A24,United States,English,83.0,,,,4.6,61,52%,,
The Children Act,Richard Eyre,Ian McEwan,Duncan Kenworthy,"['Emma Thompson', 'Stanley Tucci', 'Fionn Whitehead']",Andrew Dunn,Dan Farrell,Stephen Warbeck,"['A24', 'DirecTV', 'FilmNation Entertainment', 'BBC Films']","['A24 (United States)', 'Entertainment One (United Kingdom)']",,English,105.0,,17700000.0,09-09-2017,6.7,62,74%,,"['The Children Act', 'by Ian McEwan']"
Mid90s,Jonah Hill,['Jonah Hill'],"['Scott Rudin', 'Eli Bush', 'Ken Kao', 'Jonah Hill', 'Lila Yacoub', 'Mikey Alfred']","['Sunny Suljic', 'Lucas Hedges', 'Na-Kel Smith', 'Olan Prenatt', 'Gio Galicia', 'Ryder McLaughlin', 'Alexa Demie', 'Katherine Waterston']",Christopher Blauvelt,Nick Houy,"['Trent Reznor', 'Atticus Ross']","['A24', 'Waypoint Entertainment', 'Scott Rudin Productions']",A24,United States,English,85.0,1700000.0,9300000.0,09-09-2018,7.3,66,80%,,
1%,Stephen McCallum,Matt Nable,"['Jamie Hilton', 'Michael Pontin']","['Ryan Corr', 'Abbey Lee', 'Simone Kessell', 'Josh McConville', 'Matt Nable', 'Aaron Pedersen']",Shelley Farthing-Dawe,Veronika Jenet,Chris Cobilis,"['Head Gear Films', 'Screen Australia', 'See Pictures', 'Ticket to Ride', 'Metrol Technology']",Icon - Dendy,Australia,English,92.0,,,09-09-2017,8.2,69,85%,,
The Hole in the Ground,Lee Cronin,"['Lee Cronin', 'Stephen Shields']","['Conor Barry', 'John Keville']","['Seána Kerslake', 'James Cosmo', 'Simone Kirby', 'Steve Wall', 'James Quinn Markey']",Tom Comerfeld,Colin Campbell,Stephen McKeon,"['Savage Productions', 'Wrong Men', 'Made', 'Irish Film Board', 'Bankside Films', 'Wallimage', 'VOO', 'Be TV', 'BNP Paribas', 'Fortis Film Finance', 'Head Gear Films', 'Metrol Technology', 'Broadcasting Authority of Ireland', 'Finnish Film Foundation']","['Wildcard Distribution (Ireland)', 'Vertigo Films (United Kingdom)', 'A24 (United States)']",,English,90.0,,3400000.0,25-01-2019,5.6,63,83%,,
Climax,Gaspar Noé,Gaspar Noé,"['Edouard Weil', 'Vincent Maraval', 'Richard Grandpierre']","['Sofia Boutella', 'Kiddy Smile', 'Romain Guillermic', 'Souheila Yacoub', 'Claude Gajan Maull', 'Giselle Palmer', 'Taylor Kastle', 'Thea Carla Schøtt']",Benoît Debie,"['Denis Bedlow', 'Gaspar Noé']",Thomas Bangalter,"['Rectangle Productions', 'Wild Bunch']","[""O'Brother Distribution (Belgium)"", 'Wild Bunch (France)']",,,96.0,2900000.0,1700000.0,13-05-2018,6.9,67,69%,,
Gloria Bell,Sebastián Lelio,,"['Juan de Dios Larraín', 'Pablo Larraín', 'Sebastián Lelio', 'Mark Levinson']","['Julianne Moore', 'John Turturro', 'Michael Cera', 'Caren Pistorius', 'Brad Garrett', 'Jeanne Tripplehorn', 'Rita Wilson', 'Chris Mulkey', 'Sean Astin', 'Holland Taylor']",Natasha Braier,Soledad Salfate,Matthew Herbert,"['FilmNation Entertainment', 'Fabula']","['A24 (United States)', 'Sony Pictures Releasing International', 'Stage 6 Films (International)']",,English,102.0,,11100000.0,07-09-2018,6.3,79,,"['Alice Johnson Boher', 'Sebastián Lelio']","['Gloria', 'by Gonzalo Maza', 'Sebastián Lelio']"
High Life,Claire Denis,"['Claire Denis', 'Jean-Pol Fargeau']","['Andrew Lauren', 'D.J. Gugenheim', 'Claudia Steffen', 'Christoph Friedel', 'Laurence Clerc', 'Olivier Théry-Lapiney', 'Oliver Dungey', 'Klaudia Smieja']","['Robert Pattinson', 'Juliette Binoche', 'André Benjamin', 'Mia Goth', 'Agata Buzek', 'Lars Eidinger', 'Claire Tran', 'Ewan Mitchell', 'Gloria Obianyo', 'Victor Banerjee', 'Scarlette Lindsey', 'Jessie Ross']",Yorick Le Saux,Guy Lecorne,Stuart A. Staples,"['Andrew Lauren Productions', 'Pandora Filmproduktion', 'Alcatraz Films', 'The Apocalypse Films Company', 'Madants', 'BFI', 'Arte', 'ZDF', 'Canal+', 'Ciné+']","['Wild Bunch (France)', 'Pandora Filmproduktion (Germany)', 'Thunderbird Releasing (United Kingdom)', 'Against Gravity (Poland)', 'A24 (United States)']",,English,110.0,,2800000.0,09-09-2018,5.8,77,82%,,
Native Son,Rashid Johnson,,"['Matthew Perniciaro', 'Michael Sherman']","['Ashton Sanders', 'Margaret Qualley', 'Nick Robinson', 'KiKi Layne', 'Bill Camp', 'Sanaa Lathan']",Matthew Libatique,Brad Turner,"['Kyle Dixon', 'Michael Stein']","['A24', 'Bow and Arrow Entertainment']",HBO Films,United States,English,104.0,,,24-01-2019,5.7,63,62%,Suzan-Lori Parks,"['Native Son', 'by', 'Richard Wright']"
Under the Silver Lake,David Robert Mitchell,David Robert Mitchell,"['Michael De Luca', 'Chris Bender', 'Jake Weiner', 'Adele Romanski', 'David Robert Mitchell']","['Andrew Garfield', 'Riley Keough']",Michael Gioulakis,Julio C. Perez IV,Disasterpeace,"['Pastel Productions', 'Michael De Luca Productions', 'Stay Gold Features', 'Vendian Entertainment', 'Salem Street Entertainment', 'Boo Pictures']",A24,United States,English,139.0,8000000.0,2053469.0,15-05-2018,6.5,60,59%,,
The Souvenir,Joanna Hogg,Joanna Hogg,"['Joanna Hogg', 'Luke Schiller']","['Honor Swinton Byrne', 'Tom Burke', 'Tilda Swinton']",David Raedeker,Helle Le Fevre,,"['A24', 'BBC Films', 'British Film Institute', 'JWH Films', 'Sikelia Productions', 'Protagonist Pictures']","['A24 (United States)', 'Curzon Artificial Eye (United Kingdom and Ireland)']",,English,119.0,,2100000.0,27-01-2019,6.4,92,89%,,
The Last Black Man in San Francisco,Joe Talbot,,"['Khaliah Neal', 'Joe Talbot', 'Dede Gardner', 'Jeremy Kleiner', 'Christina Oh']","['Jimmie Fails', 'Jonathan Majors', 'Tichina Arnold', 'Rob Morgan', 'Mike Epps', 'Finn Wittrock', 'Danny Glover']",Adam Newport-Berra,David Marks,Emile Mosseri,"['Plan B Entertainment', 'Longshot Features', 'Mavia Entertainment']","['A24 (United States)', 'Focus Features', 'Universal Pictures (international)']",United States,English,120.0,3000000.0,4600000.0,26-01-2019,7.3,83,92%,"['Joe Talbot', 'Rob Richert']",
Midsommar,Ari Aster,Ari Aster,"['Patrik Andersson', 'Lars Knudsen']","['Florence Pugh', 'Jack Reynor', 'William Jackson Harper', 'Vilhelm Blomgren', 'Ellora Torchia', 'Archie Madekwe', 'Will Poulter']",Pawel Pogorzelski,Lucian Johnston,Bobby Krlic,"['Square Peg', 'B-Reel Films', 'A24']","['A24 (United States)', 'Nordisk Film (Sweden)']",,English,148.0,9000000.0,48000000.0,18-06-2019,7.1,72,83%,,
The Farewell,Lulu Wang,Lulu Wang,"['Daniele Melia', 'Marc Turtletaub', 'Peter Saraf', 'Andrew Miano', 'Chris Weitz', 'Jane Zheng', 'Lulu Wang', 'Anita Gou']","['Awkwafina', 'Tzi Ma', 'Diana Lin', 'Zhao Shu-zhen']",Anna Franquesa Solano,"['Michael Taylor', 'Matthew Friedman']",Alex Weston,"['Ray Productions', 'Big Beach', 'Depth of Field', 'Kindred Spirit']",A24,United States,,100.0,3000000.0,23100000.0,25-01-2019,7.5,89,97%,,
Skin,Guy Nattiv,Guy Nattiv,"['Guy Nattiv', 'Jaime Ray Newman', 'Oren Moverman', 'Dillon D. Jordan', 'Celine Rattray', 'Trudie Styler']","['Jamie Bell', 'Danielle Macdonald', 'Daniel Henshall', 'Bill Camp', 'Ari Barkan', 'Louisa Krause', 'Zoe Colletti', 'Kylie Rogers', 'Colbi Gannett', 'Mike Colter', 'Vera Farmiga']",Arnaud Potier,"['Lee Percy', 'Michael Taylor']",Dan Romer,"['Voltage Pictures', 'Maven Pictures', 'PaperChase Films', 'Lost Lane Entertainment', 'Item 7', 'Sight Unseen Pictures', 'Studio Mao (In association with)']","['A24', 'DirecTV Cinema']",United States,English,110.0,,135562.0,08-09-2018,6.8,58,76%,,
Share,Pippa Bianco,,"['Carly Hugo', 'Matthew Parker', 'Tyler Byrne']","['Rhianne Barreto', 'Charlie Plummer', 'Poorna Jagannathan', 'J. C. Mackenzie', 'Nicholas Galitzine', 'Lovie Simone']",Ava Berkofsky,Shelby Siegel,Shlohmo,"['A24', 'Loveless', 'Wilding Pictures']",HBO Films,United States,English,89.0,,,25-01-2019,5.7,73,86%,Pippa Bianco,"['Share', 'by Pippa Bianco']"
The Death of Dick Long,Daniel Scheinert,Billy Chew,"['Jonathan Wang', 'Daniel Scheinert', 'Melodie Sisk']","['Michael Abbott Jr.', 'Virginia Newcomb', 'Andre Hyland', 'Sarah Baker', 'Jess Weixler', 'Roy Wood Jr.', 'Sunita Mani']",Ashley Connor,Paul Rogers,"['Andy Hull', 'Robert McDowell']",,A24,United States,English,100.0,,36856.0,26-01-2019,6.4,69,74%,,
Low Tide,Kevin McMullin,Kevin McMullin,"['Rian Cahill', 'Brian Kavanaugh-Jones', 'Brandon McHugh', 'Richard Peete', 'Kevin Rowe']","['Keean Johnson', 'Alex Neustaedter', 'Daniel Zolghadri', 'Kristine Froseth', 'Shea Whigham', 'Jaeden Martell']",Andrew Ellmaker,Ed Yonaitis,"['Brooke Blair', 'Will Blair']","['Automatik', 'Boy & Star', 'Headgear Films', 'Metrol Technology', 'Neighborhood Watch']","['A24', 'DirecTV Cinema']",United States,English,86.0,,,28-04-2019,6.3,64,73%,,
The Lighthouse,Robert Eggers,"['Robert Eggers', 'Max Eggers']","['Rodrigo Teixeira', 'Jay Van Hoy', 'Robert Eggers', ""Lourenço Sant'Anna"", 'Youree Henley']","['Willem Dafoe', 'Robert Pattinson']",Jarin Blaschke,Louise Ford,Mark Korven,"['A24', 'Regency Enterprises', 'RT Features']","['A24 (United States)', 'VVS Films (Canada)']",,English,109.0,11000000.0,18300000.0,19-05-2019,7.4,83,90%,,
The Elephant Queen,"['Victoria Stone', 'Mark Deeble']",,Lucinda Englehart,,,,Alex Heffes,"['Mister Smith Entertainment', 'Deeble & Stone']","['A24', 'Apple TV+']",,,96.0,,,08-09-2018,7.8,69,91%,,
The Kill Team,Dan Krauss,Dan Krauss,"['Marty Bowen', 'Wyck Godfrey', 'Adrian Guerra', 'Isaac Klausner']","['Nat Wolff', 'Adam Long', 'Anacletus Sanga', 'Brian ""Sene"" Marc', 'Osy Ikhile', 'Anna Francolini', 'Rob Morrow', 'Alexander Skarsgård']",Stéphane Fontaine,"['Luke Doolan', 'Franklin Peterson']",Zacarías M. de la Riva,"['Nostromo Pictures', 'Temple Hill Entertainment']",A24,United States,English,87.0,,415772.0,27-04-2019,6.0,60,71%,,
Waves,Trey Edward Shults,Trey Edward Shults,"['Kevin Turen', 'James Wilson', 'Trey Edward Shults']","['Kelvin Harrison Jr.', 'Taylor Russell', 'Sterling K. Brown', 'Renée Elise Goldsberry', 'Alexa Demie', 'Lucas Hedges']",Drew Daniels,"['Trey Edward Shults', 'Isaac Hagy']","['Trent Reznor', 'Atticus Ross']","['Guy Grand Productions', 'JW Films']","['A24 (United States)', 'Focus Features Universal Pictures (International)']",United States,English,135.0,,2600000.0,30-08-2019,7.5,80,84%,,
In Fabric,Peter Strickland,Peter Strickland,Andrew Starke,"['Marianne Jean-Baptiste', 'Hayley Squires', 'Leo Bill', 'Julian Barratt', 'Steve Oram', 'Gwendoline Christie', 'Barry Adamson', 'Jaygann Ayeh', 'Richard Bremmer', 'Terry Bird', 'Fatma Mohamed']",Ari Wegner,Matyas Fekete,Cavern of Anti-Matter,"['Rook Films', 'BBC Films', 'BFI', 'Headgear Films', 'Metrol Technology']",Curzon Artificial Eye,United Kingdom,English,118.0,,,18-09-2018,6.2,81,91%,,
Uncut Gems,"['Josh Safdie', 'Benny Safdie']","['Ronald Bronstein', 'Josh Safdie', 'Benny Safdie']","['Scott Rudin', 'Eli Bush', 'Sebastian Bear-McClard']","['Adam Sandler', 'LaKeith Stanfield', 'Julia Fox', 'Kevin Garnett', 'Idina Menzel', 'Eric Bogosian']",Darius Khondji,"['Ronald Bronstein', 'Benny Safdie']",Daniel Lopatin,"['A24', 'Elara Pictures', 'IAC Films', 'Sikelia Productions', 'Scott Rudin Productions']","['A24 (United States)', 'Netflix (International)']",United States,English,135.0,19000000.0,50000000.0,30-08-2019,7.4,91,91%,,
First Cow,Kelly Reichardt,,"['Neil Kopp', 'Vincent Savino', 'Anish Savjani']","['John Magaro', 'Orion Lee', 'Toby Jones', 'Ewen Bremner', 'Scott Shepherd', 'Gary Farmer', 'Lily Gladstone']",Christopher Blauvelt,Kelly Reichardt,William Tyler,"['FilmScience', 'IAC Films']",A24,United States,English,121.0,2000000.0,1400000.0,30-08-2019,7.1,89,96%,"['Jonathan Raymond', 'Kelly Reichardt']","['The Half-Life', 'by Jonathan Raymond']"
Boys State,"['Jesse Moss', 'Amanda McBaine']",,"['Amanda McBaine', 'Jesse Moss']",,Thorsten Thielow,Jeff Seymann Gilbert,T. Griffin,"['Concordia Studio', 'Mile End Films']","['A24', 'Apple TV+']",United States,English,109.0,,,24-01-2020,7.6,84,95%,,
On the Rocks,Sofia Coppola,Sofia Coppola,"['Sofia Coppola', 'Youree Henley']","['Bill Murray', 'Rashida Jones', 'Marlon Wayans']",Philippe Le Sourd,Sarah Flack,Phoenix,,"['A24', 'Apple TV+']",United States,English,96.0,,992103.0,22-09-2020,6.4,73,87%,,
Saint Maud,Rose Glass,Rose Glass,"['Andrea Cornwell', 'Oliver Kassman']","['Morfydd Clark', 'Jennifer Ehle']",Ben Fordesman,Mark Towns,Adam Janota Bzowski,"['Film4', 'British Film Institute', 'Escape Plan Productions']",StudioCanal,United Kingdom,English,84.0,,1400000.0,08-09-2019,6.7,83,93%,,
Minari,Lee Isaac Chung,Lee Isaac Chung,"['Dede Gardner', 'Jeremy Kleiner', 'Christina Oh']","['Steven Yeun', 'Han Ye-ri', 'Alan Kim', 'Noel Kate Cho', 'Youn Yuh-jung', 'Will Patton']",Lachlan Milne,Harry Yoon,Emile Mosseri,,A24,United States,,115.0,2000000.0,15500000.0,26-01-2020,7.4,89,98%,,
False Positive,John Lee,,"['Ilana Glazer', 'John Lee', 'Jonathan Wang', 'Allison Rose Carter']","['Ilana Glazer', 'Justin Theroux', 'Pierce Brosnan', 'Sophia Bush']",Pawel Pogorzelski,Jon Philpot,"['Yair Elazar Glotman', 'Lucy Railton']",,Hulu,United States,English,92.0,,,18-06-2021,4.7,54,47%,"['John Lee', 'Ilana Glazer']",
Zola,Janicza Bravo,,"['Christine Vachon', 'David Hinojosa', 'Gia Walsh', 'Kara Baker', 'Vince Jolivette', 'Elizabeth Haggard', 'Dave Franco']","['Taylour Paige', 'Riley Keough', 'Nicholas Braun', ""Ari'el Stachel"", 'Colman Domingo']",Ari Wegner,Joi McMillon,Mica Levi,"['Killer Films', 'Ramona Films', 'Gigi Films']",A24,United States,English,90.0,5000000.0,5000000.0,24-01-2020,6.5,76,88%,"['Janicza Bravo', 'Jeremy O. Harris']","['""Zola Tells All: The Real Story Behind the Greatest Stripper Saga Ever Tweeted"" by David Kushner', 'Tweets by Aziah ""Zola"" King']"
Val,"['Leo Scott', 'Ting Poo']",Val Kilmer,"['Val Kilmer', 'Leo Scott', 'Ting Poo', 'Andrew Fried', 'Dane Lillegard', 'Jordan Wynn', 'Ali Alborzi', 'Brad Koepenick', 'Tom Stratton']",['Val Kilmer'],"['Val Kilmer', 'Tom Stratton', 'Leila El Hayani']","['Leo Scott', 'Ting Poo']",Garth Stevenson,"['A24', 'IAC Films', 'Boardwalk Pictures', 'Cartel Films']","['Amazon Studios (United States and Latin America)', 'A24 (International)']",United States,English,108.0,,,07-07-2021,7.6,73,94%,,
The Green Knight,David Lowery,David Lowery,"['Toby Halbrooks', 'James M. Johnston', 'David Lowery', 'Tim Headington', 'Theresa Steele Page']","['Dev Patel', 'Alicia Vikander', 'Joel Edgerton', 'Sarita Choudhury', 'Sean Harris', 'Ralph Ineson']",Andrew Droz Palermo,David Lowery,Daniel Hart,"['A24', 'Ley Line Entertainment', 'Sailor Bear', 'Bron Creative', 'Wild Atlantic Pictures']",A24,,English,130.0,15000000.0,20000000.0,,6.6,85,89%,,"['Sir Gawain and the Green Knight', 'by', 'Anonymous']"
Lamb,Valdimar Jóhannsson,"['Sjón', 'Valdimar Jóhannsson']","['Marcin Drabiński', 'Piodor Gustafsson', 'Zuzanna Hencz', 'Hrönn Kristinsdóttir', 'Jon Mankell', 'Sara Nassim', 'Jan Naszewski', 'Erik Rydell', 'Klaudia Śmieja-Rostworowska']","['Noomi Rapace', 'Hilmir Snær Guðnason', 'Björn Hlynur Haraldsson', 'Ingvar Eggert Sigurðsson']",Eli Arenson,Agnieszka Glinska,Þórarinn Guðnason,"['Go to Sheep', 'Boom Films', 'Black Spark Productions', 'Madants/NEM Corp', 'Film i Väst', 'Chimney Sweden', 'Chimney Poland', 'Rabbit Hole Productions']","['Sena (Iceland)', 'TriArt Film (Sweden)', 'Gutek Film (Poland)']",,Icelandic,106.0,,3200000.0,13-07-2021,6.3,68,86%,,
The Souvenir Part II,Joanna Hogg,Joanna Hogg,"['Ed Guiney', 'Emma Norton', 'Andrew Lowe', 'Joanna Hogg', 'Luke Schiller']","['Honor Swinton Byrne', 'Jaygann Ayeh', 'Richard Ayoade', 'Ariane Labed', 'James Spencer Ashworth', 'Tilda Swinton']",David Raedeker,Helle le Fevre,,"['A24', 'BBC Film', 'British Film Institute', 'Sikelia Productions', 'Protagonist Pictures', 'Element Pictures', 'JWH Films']","['A24 (United States)', 'Picturehouse Entertainment (United Kingdom and Ireland)']",,English,107.0,,381315.0,08-07-2021,7.2,90,90%,,
C'mon C'mon,Mike Mills,Mike Mills,"['Chelsea Barnard', 'Lila Yacoub', 'Andrea Longacre-White']","['Joaquin Phoenix', 'Gaby Hoffmann', 'Scoot McNairy', 'Molly Webster', 'Woody Norman']",Robbie Ryan,Jennifer Vecchiarello,"['Aaron Dessner', 'Bryce Dessner']",,A24,United States,English,108.0,8300000.000000001,4500000.0,02-09-2021,7.4,82,,,
The Humans,Stephen Karam,,"['Louise Lovegrove', 'Stephen Karam']","['Jayne Houdyshell', 'Richard Jenkins', 'Amy Schumer', 'Beanie Feldstein', 'Steven Yeun', 'June Squibb']",Lol Crawley,Nick Houy,Nico Muhly,"['A24', 'IAC Films']","['A24', 'Showtime']",United States,English,108.0,,,12-09-2021,6.2,78,92%,Stephen Karam,"['The Humans', 'by Stephen Karam']"
